waypoint_idx,wp_x,wp_y,wp_z,link_id,link_point_idx,link_x,link_y,link_z,error_m
39,-122.211934639985,-411.289438843514,28.5571543568026,A2256W000748,60386,-122.21193463998478,-411.28943884351406,28.55715435680257,2.3437142008433856e-13
40,-121.968077973761,-410.852937014941,28.5568715303629,A2256W000748,60387,-121.96807797376144,-410.852937014941,28.55687153036285,4.405364961712621e-13
41,-121.724221307538,-410.416435186368,28.5565887039231,A2256W000748,60388,-121.7242213075381,-410.41643518636795,28.556588703923133,1.1457157353758233e-13
42,-121.480364641315,-409.979933357795,28.5563058774834,A2256W000748,60389,-121.48036464131476,-409.9799333577949,28.556305877483414,2.669977196213713e-13
43,-121.236507975091,-409.543431529222,28.5560230510437,A2256W000748,60390,-121.23650797509143,-409.54343152922183,28.556023051043695,4.591667681496435e-13
44,-120.992651308868,-409.106929700649,28.555740224604,A2256W000748,60391,-120.99265130886809,-409.1069297006488,28.555740224603976,2.428351918216984e-13
45,-120.748794642645,-408.670427872076,28.5554573981643,A2256W000748,60392,-120.74879464264475,-408.6704278720757,28.555457398164258,3.730180182062295e-13
46,-120.504937976421,-408.233926043503,28.5551745717245,A2256W000748,60393,-120.50493797642142,-408.23392604350266,28.55517457172454,5.349400630825218e-13
47,-120.261081310198,-407.79742421493,28.5548917452848,A2256W000748,60394,-120.26108131019808,-407.7974242149296,28.55489174528482,4.0693694993695867e-13
48,-120.018131400264,-407.360417801979,28.5540336641321,A2256W000748,60395,-120.01813140026391,-407.3604178019793,28.554033664132078,2.9673135796061134e-13
49,-119.77518149033,-406.923411389029,28.5531755829793,A2256W000748,60396,-119.77518149032974,-406.92341138902896,28.553175582979335,2.6203521364587025e-13
50,-119.532231580396,-406.486404976079,28.5523175018266,A2256W000748,60397,-119.53223158039557,-406.48640497607863,28.552317501826593,5.45963209569281e-13
51,-119.289281670461,-406.049398563128,28.5514594206739,A2256W000748,60398,-119.2892816704614,-406.0493985631283,28.55145942067385,5.006175727489942e-13
52,-119.046331760527,-405.612392150178,28.5506013395211,A2256W000748,60399,-119.04633176052724,-405.612392150178,28.55060133952111,2.4158453015843406e-13
53,-118.803381850593,-405.175385737228,28.5497432583684,A2256W000748,60400,-118.80338185059307,-405.17538573722766,28.549743258368366,3.4838338570271113e-13
54,-118.560431940659,-404.738379324277,28.5488851772156,A2256W000748,60401,-118.5604319406589,-404.73837932427733,28.548885177215624,3.552713678800501e-13
55,-118.317482030725,-404.301372911327,28.5480270960629,A2256W000748,60402,-118.31748203072473,-404.301372911327,28.54802709606288,2.7000623958883807e-13
56,-118.073934416746,-403.86469855603,28.5477679606799,A2256W000748,60403,-118.0739344167455,-403.8646985560302,28.547767960679863,5.258016244624741e-13
57,-117.830386802766,-403.428024200733,28.5475088252968,A2256W000748,60404,-117.83038680276627,-403.4280242007334,28.547508825296845,4.808647507754992e-13
58,-117.586839188787,-402.991349845437,28.5472496899138,A2256W000748,60405,-117.58683918878704,-402.99134984543656,28.547249689913826,4.567413805031093e-13
59,-117.343291574808,-402.55467549014,28.5469905545308,A2256W000748,60406,-117.34329157480781,-402.55467549013974,28.546990554530808,3.4693117685644956e-13
60,-117.099743960829,-402.118001134843,28.5467314191478,A2256W000748,60407,-117.09974396082858,-402.1180011348429,28.54673141914779,4.300985082870044e-13
61,-116.856196346849,-401.681326779546,28.5464722837648,A2256W000748,60408,-116.85619634684934,-401.6813267795461,28.54647228376477,3.595093471822542e-13
62,-116.61264873287,-401.244652424249,28.5462131483818,A2256W000748,60409,-116.61264873287011,-401.2446524242493,28.546213148381753,3.06111178766429e-13
63,-116.369913590865,-400.807525851738,28.546110971243,A2256W000748,60410,-116.36991359086477,-400.807525851738,28.54611097124299,2.2737367544323206e-13
64,-116.127178448859,-400.370399279227,28.5460087941042,A2256W000748,60411,-116.12717844885942,-400.37039927922666,28.546008794104225,5.45963209569281e-13
65,-115.884443306854,-399.933272706715,28.5459066169655,A2256W000748,60412,-115.88444330685408,-399.93327270671534,28.54590661696546,3.515571301265078e-13
66,-115.641708164849,-399.496146134204,28.5458044398267,A2256W000748,60413,-115.64170816484874,-399.496146134204,28.545804439826696,2.7000623958883807e-13
67,-115.398973022843,-399.059019561693,28.5457022626879,A2256W000748,60414,-115.39897302284339,-399.0590195616927,28.545702262687932,4.889855783314162e-13
