waypoint_idx,x,y,right_ok,left_ok,ego_lane,road_width,link_id
187,-100.518,-346.831,0,0,1,3.50,A2256W000182
188,-100.939,-346.563,0,0,1,3.50,A2256W000182
189,-101.367,-346.304,0,0,1,3.50,A2256W000182
190,-101.795,-346.044,0,0,1,3.50,A2256W000182
191,-102.072,-345.874,0,0,1,3.50,A2256W000325
192,-102.515,-345.641,0,0,1,3.50,A2256W000329
193,-102.957,-345.409,0,0,1,3.50,A2256W000329
194,-103.400,-345.176,0,0,1,3.50,A2256W000329
195,-103.843,-344.944,0,0,1,3.50,A2256W000329
196,-104.285,-344.712,0,0,1,3.50,A2256W000329
197,-104.728,-344.480,0,0,1,3.50,A2256W000329
198,-105.171,-344.248,0,0,1,3.50,A2256W000329
199,-105.614,-344.016,0,0,1,3.50,A2256W000329
200,-106.057,-343.784,0,0,1,3.50,A2256W000329
201,-106.500,-343.553,0,0,1,3.50,A2256W000329
202,-106.943,-343.321,0,0,1,3.50,A2256W000329
203,-107.386,-343.089,0,0,1,3.50,A2256W000329
204,-107.829,-342.857,0,0,1,3.50,A2256W000329
205,-108.271,-342.624,0,0,1,3.50,A2256W000329
206,-108.713,-342.391,0,0,1,3.50,A2256W000329
207,-109.155,-342.157,0,0,1,3.50,A2256W000329
208,-109.597,-341.923,0,0,1,3.50,A2256W000329
209,-110.039,-341.689,0,0,1,3.50,A2256W000329
210,-110.481,-341.455,0,0,1,3.50,A2256W000329
211,-110.922,-341.220,0,0,1,3.50,A2256W000329
212,-111.364,-340.985,0,0,1,3.50,A2256W000329
213,-111.805,-340.751,0,0,1,3.50,A2256W000329
214,-112.247,-340.516,0,0,1,3.50,A2256W000329
215,-112.688,-340.281,0,0,1,3.50,A2256W000329
216,-113.129,-340.046,0,0,1,3.50,A2256W000329
217,-113.570,-339.809,0,0,1,3.50,A2256W000329
218,-114.010,-339.571,0,0,1,3.50,A2256W000329
219,-114.449,-339.332,0,0,1,3.50,A2256W000329
220,-114.888,-339.093,0,0,1,3.50,A2256W000329
221,-115.325,-338.851,0,0,1,3.50,A2256W000329
222,-115.763,-338.609,0,0,1,3.50,A2256W000329
223,-116.199,-338.365,0,0,1,3.50,A2256W000329
224,-116.634,-338.119,0,0,1,3.50,A2256W000329
225,-117.069,-337.872,0,0,1,3.50,A2256W000329
226,-117.503,-337.623,0,0,1,3.50,A2256W000329
227,-117.937,-337.374,0,0,1,3.50,A2256W000329
228,-118.368,-337.121,0,0,1,3.50,A2256W000329
229,-118.797,-336.865,0,0,1,3.50,A2256W000329
230,-119.223,-336.603,0,0,1,3.50,A2256W000329
231,-119.647,-336.338,0,0,1,3.50,A2256W000329
232,-120.068,-336.069,0,0,1,3.50,A2256W000329
233,-120.487,-335.796,0,0,1,3.50,A2256W000329
234,-120.903,-335.518,0,0,1,3.50,A2256W000329
235,-121.318,-335.239,0,0,1,3.50,A2256W000329
236,-121.731,-334.957,0,0,1,3.50,A2256W000329
237,-122.141,-334.672,0,0,1,3.50,A2256W000329
238,-122.549,-334.383,0,0,1,3.50,A2256W000329
239,-122.954,-334.089,0,0,1,3.50,A2256W000329
240,-123.349,-333.783,0,0,1,3.50,A2256W000329
241,-123.739,-333.470,0,0,1,3.50,A2256W000329
242,-124.123,-333.149,0,0,1,3.50,A2256W000329
243,-124.496,-332.816,0,0,1,3.50,A2256W000329
244,-124.864,-332.478,0,0,1,3.50,A2256W000329
245,-125.225,-332.132,0,0,1,3.50,A2256W000329
246,-125.580,-331.780,0,0,1,3.50,A2256W000329
247,-125.915,-331.409,0,0,1,3.50,A2256W000329
248,-126.236,-331.025,0,0,1,3.50,A2256W000329
249,-126.542,-330.630,0,0,1,3.50,A2256W000329
250,-126.847,-330.234,0,0,1,3.50,A2256W000329
251,-127.129,-329.821,0,0,1,3.50,A2256W000329
252,-127.410,-329.407,0,0,1,3.50,A2256W000329
253,-127.680,-328.986,0,0,1,3.50,A2256W000329
254,-127.936,-328.557,0,0,1,3.50,A2256W000329
255,-128.174,-328.117,0,0,1,3.50,A2256W000329
256,-128.368,-327.657,0,0,1,3.50,A2256W000329
257,-128.550,-327.191,0,0,1,3.50,A2256W000329
258,-128.704,-326.715,0,0,1,3.50,A2256W000329
259,-128.846,-326.236,0,0,1,3.50,A2256W000329
260,-128.968,-325.751,0,0,1,3.50,A2256W000329
261,-129.071,-325.262,0,0,1,3.50,A2256W000329
262,-129.150,-324.768,0,0,1,3.50,A2256W000329
263,-129.221,-324.273,0,0,1,3.50,A2256W000329
264,-129.265,-323.775,0,0,1,3.50,A2256W000329
265,-129.291,-323.276,0,0,1,3.50,A2256W000329
266,-129.298,-322.776,0,0,1,3.50,A2256W000329
267,-129.274,-322.276,0,0,1,3.50,A2256W000329
268,-129.237,-321.778,0,0,1,3.50,A2256W000329
269,-129.183,-321.281,0,0,1,3.50,A2256W000329
270,-129.115,-320.785,0,0,1,3.50,A2256W000329
271,-129.018,-320.295,0,0,1,3.50,A2256W000329
272,-128.900,-319.809,0,0,1,3.50,A2256W000329
273,-128.772,-319.326,0,0,1,3.50,A2256W000329
274,-128.625,-318.848,0,0,1,3.50,A2256W000329
275,-128.460,-318.376,0,0,1,3.50,A2256W000329
276,-128.277,-317.910,0,0,1,3.50,A2256W000329
277,-128.083,-317.449,0,0,1,3.50,A2256W000329
278,-127.875,-316.995,0,0,1,3.50,A2256W000329
279,-127.650,-316.548,0,0,1,3.50,A2256W000329
280,-127.421,-316.104,0,0,1,3.50,A2256W000329
281,-127.189,-315.661,0,0,1,3.50,A2256W000329
282,-126.956,-315.219,0,0,1,3.50,A2256W000329
283,-126.719,-314.778,0,0,1,3.50,A2256W000329
284,-126.482,-314.338,0,0,1,3.50,A2256W000329
285,-126.245,-313.898,0,0,1,3.50,A2256W000329
286,-126.008,-313.458,0,0,1,3.50,A2256W000329
287,-125.771,-313.017,0,0,1,3.50,A2256W000329
288,-125.535,-312.576,0,0,1,3.50,A2256W000329
289,-125.297,-312.137,0,0,1,3.50,A2256W000329
290,-125.058,-311.698,0,0,1,3.50,A2256W000329
291,-124.817,-311.259,0,0,1,3.50,A2256W000329
292,-124.577,-310.821,0,0,1,3.50,A2256W000329
293,-124.334,-310.384,0,0,1,3.50,A2256W000329
294,-124.092,-309.946,0,0,1,3.50,A2256W000329
295,-123.847,-309.510,0,0,1,3.50,A2256W000329
296,-123.602,-309.075,0,0,1,3.50,A2256W000329
