x,y,z
-125.602829403722,-331.756454740532,28.4450453632165
-125.93644557289,-331.384067405895,28.4466826451907
-126.256022850097,-330.999635059028,28.4470395749882
-126.561736460683,-330.604028200281,28.4461380418257
-126.866556261963,-330.207818116933,28.445125913767
-127.146750891355,-329.793724910201,28.4426625570201
-127.427688643533,-329.380193040213,28.4402042209897
-127.696610963044,-328.958743855433,28.4378151567875
-127.952148848931,-328.529000335052,28.435540492673
-128.187870400412,-328.088217752351,28.4334263680134
-128.380041988799,-327.626592775604,28.4315137338907
-128.561298318932,-327.160727150037,28.4296232507565
-128.713617976737,-326.684506819443,28.4279522492396
-128.854681054667,-326.204901375279,28.4265378992143
-128.975497855382,-325.719757697334,28.4255408225794
-129.076296560886,-325.230100567161,28.4243486899257
-129.15529468156,-324.736418084666,28.4227233271579
-129.225052002072,-324.241389311095,28.4208903538121
-129.266841650603,-323.743177229601,28.4189042445449
-129.292073984466,-323.243867521002,28.4169368498214
-129.297642917158,-322.743979714651,28.4150535574965
-129.271829580539,-322.244677296279,28.4133643483101
-129.233836215124,-321.746195942634,28.4117710184318
-129.179134101223,-321.249240281403,28.4103019027316
-129.109435255864,-320.754192742707,28.4089379323069
-129.011305059425,-320.263968367203,28.4075752105729
-128.892284236643,-319.77839442337,28.406083321766
-128.763591248759,-319.295309703702,28.40452265153
-128.614732581055,-318.818029547885,28.4030497915959
-128.449402629864,-318.346225058053,28.4018438789615
-128.26544431003,-317.881348974885,28.4007480615839
-128.07071156733,-317.420890221956,28.3995329623667
-127.861620770609,-316.966778021625,28.3981384186064
-127.635803172377,-316.520732275609,28.3968384166264
-127.406680312205,-316.076386663789,28.3958306359659
-127.174130853208,-315.633819379249,28.3951573036595
-126.941480737586,-315.191308423126,28.3945369642055
-126.704091983928,-314.751318247458,28.3946251912294
-126.466941188555,-314.311201544104,28.3947218091874
-126.230126110627,-313.870903654066,28.3949358818748
-125.993542676829,-313.430481384718,28.3952153109
-125.756999169025,-312.990037545615,28.3955001563488
-125.520609795463,-312.549511417687,28.3958749619037
-125.281966584966,-312.110201423969,28.3964781630757
-125.043320610236,-311.670893638332,28.3970934099565
-124.802876217458,-311.232566923122,28.3978719966735
-124.562393173985,-310.794262147919,28.3986647683551
-124.319734289609,-310.357157441199,28.3996505586603
-124.077068315433,-309.920057379105,28.4006500758187
-123.832224574157,-309.484172831272,28.4018295946178
-123.587103435302,-309.048444616973,28.4029073604977
-123.34197885769,-308.612718216822,28.4039764102357
-123.096963435263,-308.176930456512,28.4049258255916
-122.851958177333,-307.741136981264,28.4058632128811
-122.607222019723,-307.305192316073,28.4066349300939
-122.362490658004,-306.869244971417,28.4073941334944
-122.11808833694,-306.433113059726,28.4079858090935
-121.8736923462,-305.996977609086,28.4086528821395
-121.62929549791,-305.560842637127,28.4093277496958
-121.384832948873,-305.124744488052,28.4101109362201
-121.14036693773,-304.688648281217,28.4109050538584
-120.895789316204,-304.252614657387,28.4118516232139
-120.651208199256,-303.816582996574,28.4128094209018
-120.406510432867,-303.380616787169,28.4139434923813
-120.161958619116,-302.944568687723,28.4153456141064
-119.917406591801,-302.508520711498,28.4167593338019
-119.672982229871,-302.072401156852,28.4183362447004
-119.428561845869,-301.636279377023,28.4199289701285
-119.184339475003,-301.200046676921,28.4217449947103
-118.940106226756,-300.763820069004,28.4235610192797
-118.695883198632,-300.327587740401,28.4253889087805
-118.451811640422,-299.891270643583,28.4273851991348
-118.2077341773,-299.45495685348,28.4293814894737
-117.963656990914,-299.018642900304,28.4313777798416
-117.719584583571,-298.582326303242,28.4333740701092
-117.475496216128,-298.146018543787,28.4353703607232
-117.234920308793,-297.707765598759,28.4548501231896
-116.994636049078,-297.269351090264,28.4751869314217
-116.754353127729,-296.830936035147,28.495523731418
-116.511902493982,-296.393716410569,28.5016902972068
-116.269345215977,-295.956555613146,28.5071955639039
-116.026816459018,-295.51937908292,28.5127008294483
-115.78428005184,-295.082206772713,28.5182060952054
-115.541745696211,-294.64503333083,28.5237113608984
-115.299210792186,-294.207860191448,28.5292166266082
-115.056676028163,-293.770686974864,28.5347218923134
-114.814141253091,-293.333513764277,28.5402271580199
-114.57160638198,-292.896340607028,28.5457324237259
-114.329071906445,-292.459167230227,28.5512376894327
-114.086535943398,-292.021994678989,28.5567429551371
-113.844005539435,-291.584819042491,28.5622482208612
-113.601332512958,-291.147722560673,28.5661807401699
-113.358652837363,-290.710629769077,28.5700387806125
-113.11597494045,-290.273535990323,28.5738968210517
-112.873296566944,-289.836442476075,28.5777548614916
-112.630618318357,-289.399348892499,28.5816129019314
-112.387940047443,-288.962255321311,28.5854709423711
-112.145261740655,-288.525161770043,28.5893289828108
-111.902583599967,-288.088068126553,28.5931870232506
-111.659901183369,-287.650976857116,28.5931133430208
-111.41721856444,-287.213885700014,28.5928506006958
-111.174535999655,-286.776794512852,28.5925878583708
-110.931853420388,-286.33970333373,28.5923251160459
-110.689170844788,-285.902612152571,28.5920623737209
-110.446488269032,-285.4655209715,28.5917996313959
-110.203805690222,-285.028429792124,28.5915368890709
-109.961123123808,-284.591338605866,28.5912741467459
-109.718440245785,-284.15424759262,28.5889597645658
-109.475757352758,-283.717156587704,28.5865446905876
-109.233074463744,-283.280065580561,28.5841296166096
-108.99039157366,-282.842974574011,28.5817145426315
-108.747708683836,-282.405883567317,28.5792994686535
-108.505025794045,-281.968792560605,28.5768843946754
-108.262342903861,-281.531701554111,28.5744693206974
-108.019660015217,-281.094610546762,28.5720542467192
-107.776977088471,-280.657519560568,28.5660633492781
-107.534294159858,-280.220428575411,28.5598937636239
-107.29161123176,-279.783337589968,28.5537241779696
-107.048928303458,-279.346246604637,28.5475545923152
-106.806245375457,-278.909155619141,28.541385006661
-106.56356244646,-278.472064634196,28.5352154210067
-106.320879521146,-278.03497364721,28.5290458353525
-106.078196582086,-277.597882667838,28.5228762496979
-105.835513694358,-277.160791660039,28.5167066640443
-105.592830614947,-276.723700758391,28.5105370783877
-105.350148251323,-276.286609460346,28.5043674927419
-105.107463214765,-275.849519642555,28.4981979070531
-104.864788159646,-275.412424297104,28.4920283214912
-104.622374056162,-274.975184439008,28.4821377606985
-104.380759384813,-274.537501890709,28.4665290439396
-104.13911727757,-274.099834458733,28.4509203261264
-103.896918060413,-273.66247587575,28.4388307570457
-103.653718721259,-273.225671686493,28.4321238063482
-103.410705365947,-272.788764402109,28.4254168604823
-103.167641458845,-272.351885139658,28.4187099134587
-102.924593774629,-271.914996884843,28.4120029668231
-102.681531751259,-271.478116577218,28.4052960198324
-102.438510859645,-271.041213474288,28.3985890738366
-102.195339787438,-270.604393601355,28.3918821236527
-101.952811114109,-270.16721771148,28.3867418548005
-101.711336921104,-269.729457429853,28.3839996970775
-101.469667640836,-269.291805264427,28.3812575415471
-101.228051757267,-268.854123510252,28.3785153855035
-100.986417376368,-268.416451993655,28.3757732295843
-100.744803584266,-267.978769117602,28.3730310736966
-100.503125947426,-267.541121434562,28.3702889175192
-100.261717626408,-267.10332530905,28.3691073613789
-100.02075220072,-266.665285068446,28.3703214791247
-99.7797050618799,-266.227289866462,28.3715355967002
-99.5386797909795,-265.789282611407,28.3727497143157
-99.2976487619847,-265.351278529736,28.373963831921
-99.0566188973811,-264.913273807626,28.3751779495256
-98.8155901329882,-264.475268474065,28.376392067143
-98.5745558046811,-264.037266226012,28.37760618471
-98.3335426268636,-263.599252250128,28.3788203024678
-98.0924504295136,-263.161282089798,28.3800344195417
-97.8516530906915,-262.723148433403,28.3812485395568
-97.6095944498463,-262.285714156164,28.382813266838
-97.3654477263244,-261.849437699503,28.3849189612817
-97.1216855659151,-261.412948006618,28.3870246491552
-96.877820513706,-260.976515365777,28.3891303385799
-96.6339824637953,-260.540067753974,28.3912360275776
-96.3901392964866,-260.103622973981,28.3933417166755
-96.1462895982343,-259.667181836726,28.3954474057963
-95.9024711341164,-259.230723300631,28.3975530947329
-95.6585342908012,-258.794330702454,28.399658784495
-95.4151040797588,-258.357655908536,28.4021835875063
-95.1725164429715,-257.920511798916,28.4053575837256
-94.9297734057181,-257.483454246283,28.408531578338
-94.6870735640313,-257.046372639139,28.4117055733161
-94.4443563423528,-256.609300692049,28.4148795682445
-94.2016654402769,-256.172214161911,28.4180535629986
-93.9589526869182,-255.735139733346,28.421460485634
-93.7173452025297,-255.297453311954,28.430078891209
-93.4756964771928,-254.859789725855,28.4386972941181
-93.2340588128453,-254.422120015238,28.4473156971724
-92.9924181819616,-253.984451947205,28.4559341001469
-92.7507783464614,-253.546783438764,28.4645525031399
-92.5091382985813,-253.109115047921,28.4731709061277
-92.2674983041338,-252.671446627486,28.4817893091169
-92.0258583085375,-252.233778207709,28.4904077121058
-91.7842182639998,-251.796109814947,28.4990261150947
-91.5425784168778,-251.358441313193,28.5071705201408
-91.3009451440958,-250.920769181761,28.5048013322535
-91.0593116952582,-250.48309714753,28.5024321443663
-90.8176782934674,-250.045425087324,28.5000629564791
-90.5760448791046,-249.607753034058,28.4976937685919
-90.3344114681012,-249.170080978939,28.4953245807047
-90.0927780562003,-248.732408924314,28.4929553928175
-89.8511446445381,-248.294736869558,28.4905862049303
-89.6095112328152,-247.857064814835,28.4882170170431
-89.3678778210986,-247.419392760109,28.4858478291559
-89.1262444094176,-246.981720705364,28.4834786412687
-88.8846109975882,-246.5440486507,28.4811094533815
-88.6429775863146,-246.106376595729,28.4787402654943
-88.401344172971,-245.668704541901,28.476371077607
-88.159710767341,-245.231032483815,28.4739822966057
-87.9180776280131,-244.793360278706,28.4711434217932
-87.6764444818276,-244.355688077384,28.4683045469807
-87.4348113374749,-243.918015875049,28.4654656721682
-87.1931781926325,-243.480343672985,28.4626267973557
-86.9515450479205,-243.042671470849,28.4597879225431
-86.7099119031741,-242.604999268732,28.4569490477306
-86.4682787584369,-242.16732706661,28.4541101729181
-86.2266456136969,-241.72965486449,28.4512712981056
-85.9850124689576,-241.291982662369,28.4484324232931
-85.7433793242193,-240.854310460247,28.4455935484805
-85.5017461794757,-240.416638258129,28.442754673668
-85.2601130347533,-239.978966055998,28.4400471568529
-85.0184798907967,-239.541293853445,28.4404474255677
-84.7768467468214,-239.103621650903,28.4408476942826
-84.5352136028507,-238.665949448357,28.4412479629975
-84.2935804588786,-238.228277245813,28.4416482317123
-84.0519473149075,-237.790605043268,28.4420485004272
-83.8103141709352,-237.352932840724,28.4424487691421
-83.568681026966,-236.915260638177,28.442849037857
-83.3270478829863,-236.477588435637,28.4432493065719
-83.0854147390439,-236.039916233076,28.4435034960282
-82.8437815964758,-235.602244029757,28.4402092614914
-82.6021484538746,-235.164571826455,28.4369150269546
-82.360515311282,-234.726899623149,28.4336207924177
-82.1188821686883,-234.289227419844,28.4303265578809
-81.8772490260896,-233.851555216541,28.4270323233441
-81.6356158835106,-233.413883013227,28.4237380888073
-81.3939827408594,-232.976210809953,28.4204438542705
-81.1523495984771,-232.538538606533,28.4171496197336
-80.9107164550939,-232.100866403657,28.4138553851968
-80.6690833154335,-231.663194198755,28.4105611506601
-80.4274501619236,-231.22552200139,28.4072669161227
-80.1858170599322,-230.787849775991,28.4039726815878
